"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","treatment","treatment_text","autoClass","treatment_class","Cancer","Chemotherapy"
"WT.21",2.18701924780995,0.162661130487397,0.744390566406229,0.110567319889622,-1.11072497769756,1,"WT","1.5","WT_1.5",0,0
"WT.22",3.32236270384456,0.104713431874468,-1.25757367286813,0.442977146655491,-0.515987662402228,1,"WT","1.5","WT_1.5",0,0
"WT.23",2.62830972106739,-2.59089883940897,0.873942810915117,0.0536831804607044,0.223226081212041,1,"WT","1.5","WT_1.5",0,0
"WT.24",1.41638640641259,0.641475766765647,-1.71828012047852,0.232531828183379,-0.592226327255677,1,"WT","1.5","WT_1.5",0,0
"WT.25",2.29853670261547,1.05027775452974,-0.908030727965235,-0.554458920956377,0.333650734711263,1,"WT","1.5","WT_1.5",0,0
"WT.26",5.5676394898355,0.0848901786691537,-0.181011845417538,0.144459674518061,0.35564243629048,1,"WT","1.5","WT_1.5",0,0
"WT.27",2.06370760947312,0.493597096328343,1.48297707111594,-0.373316254239737,0.679495530565661,1,"WT","1.5","WT_1.5",0,0
"WT.28",2.37002128278407,0.0312091483522699,0.0628975016985889,0.691611382346173,-0.213702646707761,1,"WT","1.5","WT_1.5",0,0
"WT.29",3.42805142605818,2.04020759135073,1.00137371541106,0.225639384299111,0.0193440555861295,1,"WT","1.5","WT_1.5",0,0
"POX.14",-2.53525749732377,2.54665629714959,-3.6140938541956,-0.0837884375944284,-1.66091366298806,4,"POX","1.5","POX_1.5",1,1
"WT.30",-4.94757824292117,5.56665507192699,0.728253557202722,0.158583434682488,-1.48236057320762,1,"WT","Ib","WT_Ib",0,0
"WT.31",-0.997842600935557,4.93397044327681,2.14786681656707,-1.18840240433787,0.289896627766751,1,"WT","Ib","WT_Ib",0,0
"POX.15",-3.25761189686429,-5.83464526738839,-1.33130090756029,1.08904587488378,0.476820416825619,4,"POX","Ib","POX_Ib",1,1
"POX.16",-8.56204249676281,-1.07041883667101,2.02302402060956,3.12357986755648,1.43619439329079,4,"POX","Ib","POX_Ib",1,1
"POX.17",-10.0217330560446,4.09257423857014,1.12182466075928,2.68876795195895,1.94205197913449,4,"POX","Ib","POX_Ib",1,1
"POX.18",-5.57285006001769,-0.983017428769411,-0.377275395981091,1.00756610334552,0.0622293671489489,4,"POX","Ib","POX_Ib",1,1
"POX.19",-3.12525276283515,-3.93113926074599,0.209194122516992,-0.917341572303782,-0.166681271171229,4,"POX","Ib","POX_Ib",1,1
"POX.20",-6.94585050402478,1.72489225989295,-1.52449875190309,-0.563446691959517,1.23292569442069,4,"POX","Ib","POX_Ib",1,1
"POX.21",-9.64616828991497,0.821549084718042,1.99731981164407,2.50400765780568,1.47233039026761,4,"POX","Ib","POX_Ib",1,1
"POX.22",-3.35061961131834,2.59158689499703,1.55597453646972,-1.86013086738636,0.103057076036238,4,"POX","Ib","POX_Ib",1,1
"POX.23",-3.37614138883522,1.60289175500086,1.14986344906403,0.885398049211155,-0.829122269545675,4,"POX","Ib","POX_Ib",1,1
"POX.24",-2.48743340427661,1.55071794171417,0.6024710279792,-1.46213619963645,0.101993290077783,4,"POX","Ib","POX_Ib",1,1
"POX.25",-8.7827830914447,1.51450527914422,0.850363287656678,1.92127624556381,1.61635503800539,4,"POX","Ib","POX_Ib",1,1
"POX.26",-6.14804772463273,-2.18864289770396,0.392360731103448,-0.729767034029096,2.14922938077938,4,"POX","Ib","POX_Ib",1,1
"POX.27",-8.12572742526173,0.0111032051718748,1.2748067549194,1.90668894680153,0.606797378267604,4,"POX","Ib","POX_Ib",1,1
"POX.28",-6.36489703073667,1.06214969173384,-1.31862109534434,-0.979083217641639,1.83476013414979,4,"POX","Ib","POX_Ib",1,1
"WT.32",-0.876320474274573,4.57387446646189,1.06817553024697,0.491842225029894,-2.92221213101038,1,"WT","Ib","WT_Ib",0,0
"WT.33",0.943419902403451,0.0237847025320609,0.6312386327453,-0.877206086494088,-0.565981438535261,1,"WT","Ib","WT_Ib",0,0
"WT.34",-2.61785523240938,0.388556334593906,-0.420088433417329,1.24770160155606,-1.69480689484009,1,"WT","Ib","WT_Ib",0,0
"WT.35",-1.49640182119724,2.91045858358495,1.21079649992326,0.379470952037872,-1.49267051875605,1,"WT","Ib","WT_Ib",0,0
"WT.36",-1.13109918598641,5.50890178950564,0.473457861886879,-2.4270818469361,0.120600734326306,1,"WT","Ib","WT_Ib",0,0
"WT.37",-1.17069081799999,3.78521069766237,0.914848335295607,-0.285265309889864,-1.07762074197839,1,"WT","Ib","WT_Ib",0,0
"WT.38",1.40208674562923,5.46773585130025,1.43126080703751,-1.71066057130893,-0.33476445591642,1,"WT","Ib","WT_Ib",0,0
"WT.39",3.88277949163274,4.51371712482765,2.87750931936998,-1.60657775808955,0.846437186051768,1,"WT","Ib","WT_Ib",0,0
"WT.40",2.35416174574025,1.54225928650977,2.13881606837763,-1.01710693206506,-0.182448234105105,1,"WT","Ib","WT_Ib",0,0
"WT.41",1.69744590435091,0.779371989563908,1.54117993050783,-0.977600751964687,-0.181445168246448,1,"WT","Ib","WT_Ib",0,0
"WT.42",2.60230831552684,2.82366774743063,0.210775904347902,-0.982417111873808,-0.962027513815175,1,"WT","Ib","WT_Ib",0,0
"WT.43",-3.25483341013575,-0.859754288654348,1.42820882141758,-1.35249151536367,1.15205025210102,1,"WT","Ib","WT_Ib",0,0
"POX.29",-0.8488653531954,-3.11810779032729,0.509039792801253,-0.877458567536327,-0.679641578155674,4,"POX","II","POX_II",1,1
"POX.30",-2.39488730652168,-3.60673924645701,0.338434306173705,0.402121247340821,-1.17193763053448,4,"POX","II","POX_II",1,1
"POX.31",-2.91259441833163,-0.955521015858363,0.745491989736321,-1.49215934929226,-1.20560471584228,4,"POX","II","POX_II",1,1
"POX.32",-1.32029333507607,-4.12991666784222,0.822316186811476,-1.13800266409889,-0.592747009900684,4,"POX","II","POX_II",1,1
"POX.33",0.330543564883571,-3.31610224432133,0.789244937233157,-0.112215395508204,-0.232312834270056,4,"POX","II","POX_II",1,1
"POX.34",-1.60734879737811,-3.3628460016824,0.192891738613704,-1.11428582821323,-0.0532551271997917,4,"POX","II","POX_II",1,1
"POX.35",-3.36878679675249,-1.39877071124356,1.1411780001841,-1.08644868946134,-1.03569753610189,4,"POX","II","POX_II",1,1
"POX.36",2.25227861758057,-0.923970968283499,0.697331886942767,-0.647392970327267,-0.222199723997088,4,"POX","II","POX_II",1,1
"POX.37",-0.803763667815008,-2.64775118912334,-2.6044079762742,1.71082734734969,-0.65302905052469,4,"POX","II","POX_II",1,1
"POX.38",-4.1565968267681,-2.20927270713541,0.253359902336115,-0.829843731208659,-0.769221851830916,4,"POX","II","POX_II",1,1
"POX.39",-1.09018683735587,-2.31909045996874,-0.491928700903213,-0.789485366503435,-0.569655575283856,4,"POX","II","POX_II",1,1
"POX.40",-8.10535276639702,0.311615901443361,1.60029987637498,2.1444268558327,0.36058734510774,4,"POX","II","POX_II",1,1
"POX.41",-3.58474713529872,-2.70356191922823,0.386769530433401,-0.866843992937694,-0.236243385599956,4,"POX","II","POX_II",1,1
"POX.42",-1.75187511725734,2.14446973744903,1.47515762721029,-1.59275177201477,-0.34270790223933,4,"POX","II","POX_II",1,1
"WT.44",2.80521354653846,-1.7515575640734,0.694871336692568,0.829407221416476,-0.385160291263803,1,"WT","II","WT_II",0,0
"WT.45",1.9867194767182,-2.40080757565745,-0.539711172005641,1.51882925696394,-0.913037454038912,1,"WT","II","WT_II",0,0
"WT.46",4.59088745172843,-0.501799974986321,1.87282443430544,-0.737819070973629,0.459551868259093,1,"WT","II","WT_II",0,0
"WT.47",0.661517087445669,-3.23212186663357,0.976670929443124,-0.784180181208633,0.191738856340974,1,"WT","II","WT_II",0,0
"WT.48",2.78207310234771,-1.61708035274729,0.539607654121723,-0.583679845082233,-0.068794304852757,1,"WT","II","WT_II",0,0
"WT.49",0.342679789483796,-1.77224898720879,-0.773534634359807,-0.430008218234726,-0.760092725906711,1,"WT","II","WT_II",0,0
"WT.50",4.53604090114174,0.221280495444618,2.76407669321218,0.4116070694885,0.381718848432456,1,"WT","II","WT_II",0,0
"WT.51",1.18362516198338,0.709029938733535,1.16519454694584,-0.0437187293537284,-1.79498726210353,1,"WT","II","WT_II",0,0
"WT.52",2.33714337787589,-3.26996429508446,0.80633690335566,-0.148497590888787,0.261570377299273,1,"WT","II","WT_II",0,0
"WT.53",2.31702025713891,-1.06648093198867,1.26049187299868,-1.3402116468719,0.147930331836065,1,"WT","II","WT_II",0,0
"WT.54",0.674395613663773,-2.24285770782984,1.04304502542536,-1.72630373581996,0.2700170738504,1,"WT","II","WT_II",0,0
"WT.55",2.86279566065603,-2.53343088623948,1.47854675919607,-0.540082945095315,0.0471894329331209,1,"WT","II","WT_II",0,0
"WT.56",0.728014324633079,-2.53793495424051,0.0639726684376914,-0.678871997989115,-0.195905978932007,1,"WT","II","WT_II",0,0
"WT.57",0.0739626241804936,-0.836681247792791,0.702297083870945,-1.85698420822687,0.891263370120926,1,"WT","II","WT_II",0,0
"WT.58",1.83781145502696,-1.10876723494428,0.14797435998747,-0.541155210795171,0.563902410534269,1,"WT","II","WT_II",0,0
"WT.59",2.95922471632787,-2.50544329862596,1.5045313943853,-0.765758482670151,0.0136391554270682,1,"WT","II","WT_II",0,0
"WT.60",2.70386927961902,-1.38069040892758,0.700275672630697,-1.1086022349005,-0.0677620573312452,1,"WT","II","WT_II",0,0
